Titles	Genres
Lady and the Tramp (1955)[(4, 0.9559999704360962), (5, 0.006000000052154064), (0, 0.004999999888241291), (1, 0.004999999888241291), (2, 0.004999999888241291)]	animation
Little Mermaid, The (1989)[(5, 0.9940000176429749), (0, 0.0010000000474974513), (1, 0.0010000000474974513), (2, 0.0010000000474974513), (3, 0.0010000000474974513)]	animation
101 Dalmatians (One Hundred and One Dalmatians) (1961)[(7, 0.9890000224113464), (0, 0.0010000000474974513), (1, 0.0010000000474974513), (2, 0.0010000000474974513), (3, 0.0010000000474974513)]	animation
Peter Pan (1953)[(6, 0.5659999847412109), (0, 0.42800000309944153), (1, 0.0010000000474974513), (2, 0.0010000000474974513), (3, 0.0010000000474974513)]	animation
Return of Jafar, The (1994)[(4, 0.9959999918937683)]	animation
Return to Oz (1985)[(2, 0.9959999918937683)]	fantasy
Sleeping Beauty (1959)[(7, 0.9860000014305115), (0, 0.0020000000949949026), (1, 0.0020000000949949026), (3, 0.0020000000949949026), (5, 0.0020000000949949026)]	animation
Splash (1984)[(1, 0.9959999918937683), (3, 0.0010000000474974513), (5, 0.0010000000474974513), (6, 0.0010000000474974513), (9, 0.0010000000474974513)]	romance
Tron (1982)[(0, 0.9869999885559082), (1, 0.0020000000949949026), (5, 0.0020000000949949026), (6, 0.0020000000949949026), (2, 0.0010000000474974513)]	sci-fi
Indiana Jones and the Temple of Doom (1984)[(8, 0.9980000257492065)]	action
Lord of the Rings, The (1978)[(8, 0.9950000047683716), (0, 0.0010000000474974513), (1, 0.0010000000474974513), (2, 0.0010000000474974513), (3, 0.0010000000474974513)]	fantasy
1984 (Nineteen Eighty-Four) (1984)[(7, 0.9860000014305115), (0, 0.0020000000949949026), (1, 0.0020000000949949026), (3, 0.0020000000949949026), (5, 0.0020000000949949026)]	sci-fi
All Dogs Go to Heaven (1989)[(6, 0.9819999933242798), (0, 0.0020000000949949026), (1, 0.0020000000949949026), (2, 0.0020000000949949026), (3, 0.0020000000949949026)]	animation
Ever After: A Cinderella Story (1998)[(4, 0.9769999980926514), (1, 0.003000000026077032), (3, 0.003000000026077032), (5, 0.003000000026077032), (6, 0.003000000026077032)]	romance
Adventures in Babysitting (1987)[(3, 0.9900000095367432), (0, 0.0010000000474974513), (1, 0.0010000000474974513), (2, 0.0010000000474974513), (4, 0.0010000000474974513)]	comedy
Weird Science (1985)[(1, 0.9800000190734863), (5, 0.003000000026077032), (0, 0.0020000000949949026), (2, 0.0020000000949949026), (3, 0.0020000000949949026)]	comedy
Doctor Dolittle (1967)[(8, 0.9940000176429749), (0, 0.0010000000474974513), (1, 0.0010000000474974513), (2, 0.0010000000474974513), (3, 0.0010000000474974513)]	fantasy
Charlotte's Web (1973)[(6, 0.996999979019165)]	animation
Watership Down (1978)[(8, 0.9819999933242798), (0, 0.0020000000949949026), (1, 0.0020000000949949026), (2, 0.0020000000949949026), (3, 0.0020000000949949026)]	animation
Secret of NIMH, The (1982)[(1, 0.9990000128746033)]	fantasy
Dark Crystal, The (1982)[(2, 0.9950000047683716), (0, 0.0010000000474974513), (1, 0.0010000000474974513), (3, 0.0010000000474974513), (5, 0.0010000000474974513)]	fantasy
American Tail: Fievel Goes West, An (1991)[(5, 0.9959999918937683), (1, 0.0010000000474974513), (6, 0.0010000000474974513)]	animation
Legend (1985)[(9, 0.9819999933242798), (0, 0.0020000000949949026), (1, 0.0020000000949949026), (2, 0.0020000000949949026), (3, 0.0020000000949949026)]	fantasy
Pretty in Pink (1986)[(2, 0.9919999837875366), (0, 0.0010000000474974513), (1, 0.0010000000474974513), (3, 0.0010000000474974513), (4, 0.0010000000474974513)]	comedy
Gods Must Be Crazy, The (1980)[(5, 0.9850000143051147), (0, 0.0020000000949949026), (1, 0.0020000000949949026), (2, 0.0020000000949949026), (3, 0.0020000000949949026)]	comedy
NeverEnding Story II: The Next Chapter, The (1990)[(3, 0.9850000143051147), (0, 0.0020000000949949026), (1, 0.0020000000949949026), (2, 0.0020000000949949026), (4, 0.0020000000949949026)]	fantasy
Blade (1998)[(1, 0.9819999933242798), (0, 0.0020000000949949026), (2, 0.0020000000949949026), (3, 0.0020000000949949026), (4, 0.0020000000949949026)]	action
Beetlejuice (1988)[(7, 0.9940000176429749), (0, 0.0010000000474974513), (1, 0.0010000000474974513), (2, 0.0010000000474974513), (3, 0.0010000000474974513)]	comedy
Marnie (1964)[(0, 0.996999979019165)]	romance
Willow (1988)[(7, 0.9980000257492065)]	fantasy
Dirty Work (1998)[(9, 0.9900000095367432), (0, 0.0010000000474974513), (1, 0.0010000000474974513), (2, 0.0010000000474974513), (3, 0.0010000000474974513)]	comedy
Say Anything... (1989)[(8, 0.9900000095367432), (0, 0.0010000000474974513), (1, 0.0010000000474974513), (2, 0.0010000000474974513), (3, 0.0010000000474974513)]	comedy
We're No Angels (1989)[(1, 0.9850000143051147), (0, 0.0020000000949949026), (2, 0.0020000000949949026), (3, 0.0020000000949949026), (4, 0.0020000000949949026)]	comedy
Rush Hour (1998)[(4, 0.9559999704360962), (5, 0.006000000052154064), (0, 0.004999999888241291), (1, 0.004999999888241291), (2, 0.004999999888241291)]	comedy
Ronin (1998)[(2, 0.9950000047683716), (0, 0.0010000000474974513), (1, 0.0010000000474974513), (3, 0.0010000000474974513), (5, 0.0010000000474974513)]	action
Them! (1954)[(3, 0.996999979019165)]	sci-fi
Thing, The (1982)[(9, 0.9890000224113464), (0, 0.0010000000474974513), (1, 0.0010000000474974513), (2, 0.0010000000474974513), (3, 0.0010000000474974513)]	sci-fi
Player, The (1992)[(2, 0.9950000047683716), (0, 0.0010000000474974513), (1, 0.0010000000474974513), (3, 0.0010000000474974513), (5, 0.0010000000474974513)]	comedy
Edward Scissorhands (1990)[(4, 0.9950000047683716), (0, 0.0010000000474974513), (1, 0.0010000000474974513), (2, 0.0010000000474974513), (3, 0.0010000000474974513)]	fantasy
Antz (1998)[(4, 0.996999979019165)]	animation
My Cousin Vinny (1992)[(3, 0.9900000095367432), (0, 0.0010000000474974513), (1, 0.0010000000474974513), (2, 0.0010000000474974513), (4, 0.0010000000474974513)]	comedy
2010: The Year We Make Contact (1984)[(5, 0.9950000047683716), (0, 0.0010000000474974513), (1, 0.0010000000474974513), (3, 0.0010000000474974513), (6, 0.0010000000474974513)]	sci-fi
Pleasantville (1998)[(2, 0.996999979019165)]	fantasy
Soldier (1998)[(8, 0.9950000047683716), (1, 0.0010000000474974513), (3, 0.0010000000474974513), (5, 0.0010000000474974513), (6, 0.0010000000474974513)]	sci-fi
Life Is Beautiful (La Vita è bella) (1997)[(5, 0.9959999918937683), (1, 0.0010000000474974513), (3, 0.0010000000474974513), (6, 0.0010000000474974513), (8, 0.0010000000474974513)]	comedy
Orgazmo (1997)[(9, 0.996999979019165)]	comedy
Waterboy, The (1998)[(0, 0.9909999966621399), (1, 0.0010000000474974513), (2, 0.0010000000474974513), (3, 0.0010000000474974513), (4, 0.0010000000474974513)]	comedy
Stepford Wives, The (1975)[(0, 0.9900000095367432), (1, 0.0010000000474974513), (2, 0.0010000000474974513), (3, 0.0010000000474974513), (4, 0.0010000000474974513)]	sci-fi
Rugrats Movie, The (1998)[(5, 0.7639999985694885), (2, 0.210999995470047), (1, 0.004000000189989805), (0, 0.003000000026077032), (3, 0.003000000026077032)]	animation
Bug's Life, A (1998)[(3, 0.9869999885559082), (1, 0.0020000000949949026), (5, 0.0020000000949949026), (6, 0.0020000000949949026), (0, 0.0010000000474974513)]	animation
King Kong (1933)[(8, 0.9959999918937683)]	action
Fletch (1985)[(6, 0.996999979019165)]	comedy
Red Sonja (1985)[(5, 0.9900000095367432), (0, 0.0010000000474974513), (1, 0.0010000000474974513), (2, 0.0010000000474974513), (3, 0.0010000000474974513)]	fantasy
Money Pit, The (1986)[(0, 0.9950000047683716), (1, 0.0010000000474974513), (2, 0.0010000000474974513), (3, 0.0010000000474974513), (5, 0.0010000000474974513)]	comedy
Police Academy (1984)[(5, 0.9819999933242798), (0, 0.0020000000949949026), (1, 0.0020000000949949026), (2, 0.0020000000949949026), (3, 0.0020000000949949026)]	comedy
Police Academy 2: Their First Assignment (1985)[(9, 0.9860000014305115), (0, 0.0020000000949949026), (1, 0.0020000000949949026), (3, 0.0020000000949949026), (5, 0.0020000000949949026)]	comedy
Police Academy 3: Back in Training (1986)[(2, 0.871999979019165), (6, 0.11500000208616257), (0, 0.0020000000949949026), (1, 0.0020000000949949026), (3, 0.0020000000949949026)]	comedy
Police Academy 4: Citizens on Patrol (1987)[(2, 0.9929999709129333), (0, 0.0010000000474974513), (1, 0.0010000000474974513), (3, 0.0010000000474974513), (4, 0.0010000000474974513)]	comedy
Police Academy 5: Assignment: Miami Beach (1988)[(2, 0.9940000176429749), (0, 0.0010000000474974513), (1, 0.0010000000474974513), (3, 0.0010000000474974513), (4, 0.0010000000474974513)]	comedy
Police Academy 6: City Under Siege (1989)[(4, 0.9980000257492065)]	comedy
Babe: Pig in the City (1998)[(3, 0.996999979019165)]	animation
Star Trek: Insurrection (1998)[(3, 0.996999979019165)]	sci-fi
Prince of Egypt, The (1998)[(1, 0.9950000047683716), (3, 0.0010000000474974513), (5, 0.0010000000474974513), (6, 0.0010000000474974513), (8, 0.0010000000474974513)]	animation
Rushmore (1998)[(6, 0.996999979019165)]	comedy
Shakespeare in Love (1998)[(6, 0.7170000076293945), (9, 0.2809999883174896)]	romance
Rambo: First Blood Part II (1985)[(1, 0.996999979019165)]	action
First Blood (Rambo: First Blood) (1982)[(3, 0.9879999756813049), (5, 0.0020000000949949026), (0, 0.0010000000474974513), (1, 0.0010000000474974513), (2, 0.0010000000474974513)]	action
Rambo III (1988)[(8, 0.9890000224113464), (0, 0.0010000000474974513), (1, 0.0010000000474974513), (2, 0.0010000000474974513), (3, 0.0010000000474974513)]	action
Jewel of the Nile, The (1985)[(9, 0.9950000047683716), (0, 0.0010000000474974513), (1, 0.0010000000474974513), (2, 0.0010000000474974513), (3, 0.0010000000474974513)]	action
Romancing the Stone (1984)[(5, 0.984000027179718), (0, 0.0020000000949949026), (1, 0.0020000000949949026), (2, 0.0020000000949949026), (3, 0.0020000000949949026)]	action
Rocky IV (1985)[(1, 0.9929999709129333), (0, 0.0010000000474974513), (2, 0.0010000000474974513), (3, 0.0010000000474974513), (4, 0.0010000000474974513)]	action
Rocky V (1990)[(7, 0.9959999918937683), (1, 0.0010000000474974513), (5, 0.0010000000474974513), (6, 0.0010000000474974513)]	action
Karate Kid, The (1984)[(5, 0.9980000257492065)]	comedy
Christmas Vacation (National Lampoon's Christmas Vacation) (1989)[(7, 0.9919999837875366), (0, 0.0010000000474974513), (1, 0.0010000000474974513), (2, 0.0010000000474974513), (3, 0.0010000000474974513)]	comedy
You've Got Mail (1998)[(5, 0.9940000176429749), (0, 0.0010000000474974513), (1, 0.0010000000474974513), (2, 0.0010000000474974513), (3, 0.0010000000474974513)]	romance
Faculty, The (1998)[(0, 0.9869999885559082), (1, 0.0020000000949949026), (5, 0.0020000000949949026), (6, 0.0020000000949949026), (2, 0.0010000000474974513)]	sci-fi
Patch Adams (1998)[(1, 0.9940000176429749), (0, 0.0010000000474974513), (2, 0.0010000000474974513), (3, 0.0010000000474974513), (4, 0.0010000000474974513)]	comedy
At First Sight (1999)[(2, 0.996999979019165)]	romance
Howard the Duck (1986)[(6, 0.9710000157356262), (1, 0.004000000189989805), (5, 0.004000000189989805), (0, 0.003000000026077032), (2, 0.003000000026077032)]	sci-fi
Fly, The (1958)[(9, 0.9959999918937683)]	sci-fi
Fly, The (1986)[(9, 0.9959999918937683), (1, 0.0010000000474974513), (5, 0.0010000000474974513)]	sci-fi
Ruthless People (1986)[(1, 0.9990000128746033)]	comedy
¡Three Amigos! (1986)[(5, 0.9850000143051147), (0, 0.0020000000949949026), (1, 0.0020000000949949026), (2, 0.0020000000949949026), (3, 0.0020000000949949026)]	comedy
She's All That (1999)[(1, 0.9819999933242798), (0, 0.0020000000949949026), (2, 0.0020000000949949026), (3, 0.0020000000949949026), (4, 0.0020000000949949026)]	romance
Payback (1999)[(5, 0.9800000190734863), (0, 0.0020000000949949026), (1, 0.0020000000949949026), (2, 0.0020000000949949026), (3, 0.0020000000949949026)]	action
Fantastic Planet, The (Planète sauvage, La) (1973)[(9, 0.9950000047683716), (0, 0.0010000000474974513), (1, 0.0010000000474974513), (2, 0.0010000000474974513), (3, 0.0010000000474974513)]	sci-fi
Message in a Bottle (1999)[(8, 0.9919999837875366), (0, 0.0010000000474974513), (1, 0.0010000000474974513), (2, 0.0010000000474974513), (3, 0.0010000000474974513)]	romance
Office Space (1999)[(9, 0.9779999852180481), (1, 0.003000000026077032), (3, 0.003000000026077032), (5, 0.003000000026077032), (6, 0.003000000026077032)]	comedy
Breakfast of Champions (1999)[(8, 0.9900000095367432), (0, 0.0010000000474974513), (1, 0.0010000000474974513), (2, 0.0010000000474974513), (3, 0.0010000000474974513)]	comedy
Westworld (1973)[(5, 0.9800000190734863), (0, 0.0020000000949949026), (1, 0.0020000000949949026), (2, 0.0020000000949949026), (3, 0.0020000000949949026)]	sci-fi
Logan's Run (1976)[(9, 0.9980000257492065)]	sci-fi
Beneath the Planet of the Apes (1970)[(8, 0.9980000257492065)]	sci-fi
Conquest of the Planet of the Apes (1972)[(5, 0.9929999709129333), (0, 0.0010000000474974513), (1, 0.0010000000474974513), (2, 0.0010000000474974513), (3, 0.0010000000474974513)]	sci-fi
Analyze This (1999)[(5, 0.9980000257492065)]	comedy
Lock, Stock & Two Smoking Barrels (1998)[(4, 0.9950000047683716), (0, 0.0010000000474974513), (1, 0.0010000000474974513), (2, 0.0010000000474974513), (3, 0.0010000000474974513)]	comedy
Wing Commander (1999)[(0, 0.9919999837875366), (1, 0.0010000000474974513), (2, 0.0010000000474974513), (3, 0.0010000000474974513), (4, 0.0010000000474974513)]	sci-fi
King and I, The (1999)[(0, 0.9850000143051147), (1, 0.0020000000949949026), (2, 0.0020000000949949026), (3, 0.0020000000949949026), (4, 0.0020000000949949026)]	animation
Matrix, The (1999)[(0, 0.9800000190734863), (5, 0.003000000026077032), (1, 0.0020000000949949026), (2, 0.0020000000949949026), (3, 0.0020000000949949026)]	sci-fi
10 Things I Hate About You (1999)[(2, 0.9879999756813049), (5, 0.0020000000949949026), (0, 0.0010000000474974513), (1, 0.0010000000474974513), (3, 0.0010000000474974513)]	comedy
Go (1999)[(8, 0.9900000095367432), (0, 0.0010000000474974513), (1, 0.0010000000474974513), (2, 0.0010000000474974513), (3, 0.0010000000474974513)]	comedy
Never Been Kissed (1999)[(2, 0.996999979019165)]	romance
Life (1999)[(1, 0.996999979019165)]	comedy
eXistenZ (1999)[(9, 0.609000027179718), (2, 0.3880000114440918)]	sci-fi
Night of the Comet (1984)[(1, 0.9819999933242798), (0, 0.0020000000949949026), (2, 0.0020000000949949026), (3, 0.0020000000949949026), (4, 0.0020000000949949026)]	sci-fi
Mummy, The (1999)[(0, 0.9850000143051147), (1, 0.0020000000949949026), (2, 0.0020000000949949026), (3, 0.0020000000949949026), (4, 0.0020000000949949026)]	action
Castle, The (1997)[(5, 0.9950000047683716), (0, 0.0010000000474974513), (1, 0.0010000000474974513), (2, 0.0010000000474974513), (3, 0.0010000000474974513)]	comedy
Star Wars: Episode I - The Phantom Menace (1999)[(3, 0.996999979019165)]	sci-fi
Superman (1978)[(9, 0.9980000257492065)]	sci-fi
Superman II (1980)[(9, 0.9959999918937683), (1, 0.0010000000474974513), (5, 0.0010000000474974513), (6, 0.0010000000474974513)]	sci-fi
Thing from Another World, The (1951)[(6, 0.9900000095367432), (0, 0.0010000000474974513), (1, 0.0010000000474974513), (2, 0.0010000000474974513), (3, 0.0010000000474974513)]	sci-fi
Invasion of the Body Snatchers (1956)[(6, 0.9959999918937683), (1, 0.0010000000474974513), (5, 0.0010000000474974513)]	sci-fi
Swamp Thing (1982)[(2, 0.9940000176429749), (0, 0.0010000000474974513), (1, 0.0010000000474974513), (3, 0.0010000000474974513), (4, 0.0010000000474974513)]	sci-fi
Notting Hill (1999)[(8, 0.9819999933242798), (0, 0.0020000000949949026), (1, 0.0020000000949949026), (2, 0.0020000000949949026), (3, 0.0020000000949949026)]	romance
Ideal Husband, An (1999)[(1, 0.9879999756813049), (5, 0.0020000000949949026), (0, 0.0010000000474974513), (2, 0.0010000000474974513), (3, 0.0010000000474974513)]	comedy
Run Lola Run (Lola rennt) (1998)[(5, 0.9800000190734863), (0, 0.0020000000949949026), (1, 0.0020000000949949026), (2, 0.0020000000949949026), (3, 0.0020000000949949026)]	animation
Dinner Game, The (Dîner de cons, Le) (1998)[(0, 0.996999979019165)]	comedy
Arachnophobia (1990)[(8, 0.9950000047683716), (0, 0.0010000000474974513), (1, 0.0010000000474974513), (2, 0.0010000000474974513), (3, 0.0010000000474974513)]	action
Wild Wild West (1999)[(1, 0.9950000047683716), (0, 0.0010000000474974513), (2, 0.0010000000474974513), (3, 0.0010000000474974513), (5, 0.0010000000474974513)]	sci-fi
American Pie (1999)[(8, 0.9959999918937683)]	comedy
Lake Placid (1999)[(8, 0.9860000014305115), (0, 0.0020000000949949026), (1, 0.0020000000949949026), (3, 0.0020000000949949026), (5, 0.0020000000949949026)]	action
Ghostbusters (a.k.a. Ghost Busters) (1984)[(3, 0.9950000047683716), (0, 0.0010000000474974513), (1, 0.0010000000474974513), (2, 0.0010000000474974513), (4, 0.0010000000474974513)]	comedy
Ghostbusters II (1989)[(5, 0.9959999918937683)]	comedy
Deep Blue Sea (1999)[(4, 0.9940000176429749), (0, 0.0010000000474974513), (1, 0.0010000000474974513), (2, 0.0010000000474974513), (3, 0.0010000000474974513)]	action
Mystery Men (1999)[(5, 0.9860000014305115), (0, 0.0020000000949949026), (1, 0.0020000000949949026), (3, 0.0020000000949949026), (6, 0.0020000000949949026)]	comedy
Spartacus (1960)[(8, 0.9649999737739563), (0, 0.004000000189989805), (1, 0.004000000189989805), (2, 0.004000000189989805), (3, 0.004000000189989805)]	romance
Lolita (1962)[(3, 0.9950000047683716), (0, 0.0010000000474974513), (1, 0.0010000000474974513), (2, 0.0010000000474974513), (4, 0.0010000000474974513)]	romance
Brighton Beach Memoirs (1986)[(8, 0.9890000224113464), (0, 0.0010000000474974513), (1, 0.0010000000474974513), (2, 0.0010000000474974513), (3, 0.0010000000474974513)]	comedy
Iron Giant, The (1999)[(6, 0.9850000143051147), (0, 0.0020000000949949026), (1, 0.0020000000949949026), (2, 0.0020000000949949026), (3, 0.0020000000949949026)]	animation
Thomas Crown Affair, The (1999)[(2, 0.9779999852180481), (1, 0.003000000026077032), (3, 0.003000000026077032), (5, 0.003000000026077032), (6, 0.003000000026077032)]	comedy
Bowfinger (1999)[(0, 0.9869999885559082), (1, 0.0020000000949949026), (5, 0.0020000000949949026), (6, 0.0020000000949949026), (2, 0.0010000000474974513)]	comedy
Detroit Rock City (1999)[(7, 0.9769999980926514), (1, 0.003000000026077032), (3, 0.003000000026077032), (5, 0.003000000026077032), (6, 0.003000000026077032)]	comedy
Tomb of Ligeia, The (1965)[(0, 0.9739999771118164), (1, 0.003000000026077032), (2, 0.003000000026077032), (3, 0.003000000026077032), (4, 0.003000000026077032)]	romance
Monty Python's And Now for Something Completely Different (1971)[(9, 0.9800000190734863), (5, 0.003000000026077032), (0, 0.0020000000949949026), (1, 0.0020000000949949026), (2, 0.0020000000949949026)]	comedy
Airplane! (1980)[(2, 0.9800000190734863), (5, 0.003000000026077032), (0, 0.0020000000949949026), (1, 0.0020000000949949026), (3, 0.0020000000949949026)]	comedy
National Lampoon's Vacation (1983)[(7, 0.9919999837875366), (0, 0.0010000000474974513), (1, 0.0010000000474974513), (2, 0.0010000000474974513), (3, 0.0010000000474974513)]	comedy
Funny Farm (1988)[(6, 0.9909999966621399), (0, 0.0010000000474974513), (1, 0.0010000000474974513), (2, 0.0010000000474974513), (3, 0.0010000000474974513)]	comedy
Big (1988)[(3, 0.984000027179718), (0, 0.0020000000949949026), (1, 0.0020000000949949026), (2, 0.0020000000949949026), (4, 0.0020000000949949026)]	comedy
Little Nemo: Adventures in Slumberland (1992)[(2, 0.9890000224113464), (0, 0.0010000000474974513), (1, 0.0010000000474974513), (3, 0.0010000000474974513), (4, 0.0010000000474974513)]	animation
Mickey Blue Eyes (1999)[(9, 0.9940000176429749), (0, 0.0010000000474974513), (1, 0.0010000000474974513), (2, 0.0010000000474974513), (3, 0.0010000000474974513)]	comedy
Universal Soldier (1992)[(8, 0.9909999966621399), (0, 0.0010000000474974513), (1, 0.0010000000474974513), (2, 0.0010000000474974513), (3, 0.0010000000474974513)]	action
13th Warrior, The (1999)[(1, 0.9919999837875366), (0, 0.0010000000474974513), (2, 0.0010000000474974513), (3, 0.0010000000474974513), (4, 0.0010000000474974513)]	fantasy
Outside Providence (1999)[(2, 0.9919999837875366), (0, 0.0010000000474974513), (1, 0.0010000000474974513), (3, 0.0010000000474974513), (4, 0.0010000000474974513)]	romance
Black Cat, White Cat (Crna macka, beli macor) (1998)[(6, 0.9940000176429749), (0, 0.0010000000474974513), (1, 0.0010000000474974513), (2, 0.0010000000474974513), (3, 0.0010000000474974513)]	comedy
Yellow Submarine (1968)[(4, 0.9829999804496765), (0, 0.0020000000949949026), (1, 0.0020000000949949026), (2, 0.0020000000949949026), (3, 0.0020000000949949026)]	animation
American Beauty (1999)[(9, 0.9950000047683716), (0, 0.0010000000474974513), (1, 0.0010000000474974513), (2, 0.0010000000474974513), (3, 0.0010000000474974513)]	comedy
Hard Day's Night, A (1964)[(3, 0.9750000238418579), (0, 0.003000000026077032), (1, 0.003000000026077032), (2, 0.003000000026077032), (4, 0.003000000026077032)]	comedy
Simon Sez (1999)[(9, 0.9879999756813049), (5, 0.0020000000949949026), (0, 0.0010000000474974513), (1, 0.0010000000474974513), (2, 0.0010000000474974513)]	comedy
Three Kings (1999)[(1, 0.9879999756813049), (5, 0.0020000000949949026), (0, 0.0010000000474974513), (2, 0.0010000000474974513), (3, 0.0010000000474974513)]	comedy
Phantasm (1979)[(2, 0.9959999918937683), (1, 0.0010000000474974513), (5, 0.0010000000474974513)]	sci-fi
Total Recall (1990)[(1, 0.9940000176429749), (0, 0.0010000000474974513), (2, 0.0010000000474974513), (3, 0.0010000000474974513), (4, 0.0010000000474974513)]	sci-fi
Ferris Bueller's Day Off (1986)[(3, 0.9959999918937683), (1, 0.0010000000474974513), (5, 0.0010000000474974513)]	comedy
Reds (1981)[(5, 0.9959999918937683)]	romance
Lady Eve, The (1941)[(2, 0.9850000143051147), (0, 0.0020000000949949026), (1, 0.0020000000949949026), (3, 0.0020000000949949026), (4, 0.0020000000949949026)]	romance
Sullivan's Travels (1941)[(0, 0.9929999709129333), (1, 0.0010000000474974513), (2, 0.0010000000474974513), (3, 0.0010000000474974513), (4, 0.0010000000474974513)]	comedy
Goldfinger (1964)[(4, 0.9829999804496765), (0, 0.0020000000949949026), (1, 0.0020000000949949026), (2, 0.0020000000949949026), (3, 0.0020000000949949026)]	action
Fistful of Dollars, A (Per un pugno di dollari) (1964)[(0, 0.9909999966621399), (1, 0.0010000000474974513), (2, 0.0010000000474974513), (3, 0.0010000000474974513), (4, 0.0010000000474974513)]	action
Home Alone 2: Lost in New York (1992)[(9, 0.9950000047683716), (0, 0.0010000000474974513), (1, 0.0010000000474974513), (2, 0.0010000000474974513), (3, 0.0010000000474974513)]	comedy
Fight Club (1999)[(4, 0.9929999709129333), (0, 0.0010000000474974513), (1, 0.0010000000474974513), (2, 0.0010000000474974513), (3, 0.0010000000474974513)]	action
Time Bandits (1981)[(0, 0.9850000143051147), (1, 0.0020000000949949026), (2, 0.0020000000949949026), (3, 0.0020000000949949026), (4, 0.0020000000949949026)]	action
RoboCop (1987)[(0, 0.9950000047683716), (1, 0.0010000000474974513), (2, 0.0010000000474974513), (3, 0.0010000000474974513), (5, 0.0010000000474974513)]	sci-fi
Who Framed Roger Rabbit? (1988)[(6, 0.9929999709129333), (0, 0.0010000000474974513), (1, 0.0010000000474974513), (2, 0.0010000000474974513), (3, 0.0010000000474974513)]	animation
Being John Malkovich (1999)[(3, 0.9980000257492065)]	sci-fi
Princess Mononoke (Mononoke-hime) (1997)[(8, 0.9860000014305115), (0, 0.0020000000949949026), (1, 0.0020000000949949026), (3, 0.0020000000949949026), (5, 0.0020000000949949026)]	fantasy
Train of Life (Train de vie) (1998)[(7, 0.9950000047683716), (0, 0.0010000000474974513), (1, 0.0010000000474974513), (2, 0.0010000000474974513), (3, 0.0010000000474974513)]	comedy
Last Night (1998)[(0, 0.9980000257492065)]	romance
General, The (1926)[(7, 0.9929999709129333), (0, 0.0010000000474974513), (1, 0.0010000000474974513), (2, 0.0010000000474974513), (3, 0.0010000000474974513)]	comedy
Spaceballs (1987)[(9, 0.9869999885559082), (1, 0.0020000000949949026), (5, 0.0020000000949949026), (6, 0.0020000000949949026), (0, 0.0010000000474974513)]	comedy
Little Big Man (1970)[(2, 0.9919999837875366), (0, 0.0010000000474974513), (1, 0.0010000000474974513), (3, 0.0010000000474974513), (4, 0.0010000000474974513)]	comedy
Trading Places (1983)[(6, 0.9750000238418579), (0, 0.003000000026077032), (1, 0.003000000026077032), (2, 0.003000000026077032), (3, 0.003000000026077032)]	comedy
Longest Day, The (1962)[(7, 0.5659999847412109), (1, 0.4180000126361847), (0, 0.0020000000949949026), (2, 0.0020000000949949026), (3, 0.0020000000949949026)]	action
Adventures of Buckaroo Banzai Across the 8th Dimension, The (1984)[(0, 0.9860000014305115), (1, 0.0020000000949949026), (3, 0.0020000000949949026), (5, 0.0020000000949949026), (6, 0.0020000000949949026)]	sci-fi
Babes in Toyland (1934)[(3, 0.9909999966621399), (0, 0.0010000000474974513), (1, 0.0010000000474974513), (2, 0.0010000000474974513), (4, 0.0010000000474974513)]	fantasy
Scrooged (1988)[(1, 0.984000027179718), (0, 0.0020000000949949026), (2, 0.0020000000949949026), (3, 0.0020000000949949026), (4, 0.0020000000949949026)]	comedy
Harvey (1950)[(6, 0.9869999885559082), (1, 0.0020000000949949026), (5, 0.0020000000949949026), (0, 0.0010000000474974513), (2, 0.0010000000474974513)]	comedy
Midnight Run (1988)[(7, 0.9739999771118164), (0, 0.003000000026077032), (1, 0.003000000026077032), (2, 0.003000000026077032), (3, 0.003000000026077032)]	comedy
End of Days (1999)[(1, 0.996999979019165)]	action
Toy Story 2 (1999)[(8, 0.6190000176429749), (1, 0.25099998712539673), (9, 0.11900000274181366), (5, 0.0020000000949949026), (6, 0.0020000000949949026)]	animation
Deuce Bigalow: Male Gigolo (1999)[(9, 0.9649999737739563), (0, 0.004000000189989805), (1, 0.004000000189989805), (2, 0.004000000189989805), (3, 0.004000000189989805)]	comedy
7th Voyage of Sinbad, The (1958)[(1, 0.9850000143051147), (0, 0.0020000000949949026), (2, 0.0020000000949949026), (3, 0.0020000000949949026), (4, 0.0020000000949949026)]	fantasy
Bicentennial Man (1999)[(5, 0.9950000047683716), (0, 0.0010000000474974513), (1, 0.0010000000474974513), (3, 0.0010000000474974513), (6, 0.0010000000474974513)]	sci-fi
Stuart Little (1999)[(6, 0.9860000014305115), (0, 0.0020000000949949026), (1, 0.0020000000949949026), (3, 0.0020000000949949026), (5, 0.0020000000949949026)]	comedy
Fantasia 2000 (1999)[(7, 0.9800000190734863), (5, 0.003000000026077032), (0, 0.0020000000949949026), (1, 0.0020000000949949026), (2, 0.0020000000949949026)]	animation
Galaxy Quest (1999)[(6, 0.9869999885559082), (1, 0.0020000000949949026), (5, 0.0020000000949949026), (0, 0.0010000000474974513), (2, 0.0010000000474974513)]	sci-fi
Supernova (2000)[(9, 0.996999979019165)]	sci-fi
Fast Times at Ridgemont High (1982)[(5, 0.9950000047683716), (0, 0.0010000000474974513), (1, 0.0010000000474974513), (2, 0.0010000000474974513), (3, 0.0010000000474974513)]	romance
